campus,policy,R0,gamma,beta,budget_fraction,cost_used,n_edges_removed,steady_state_prevalence,steady_state_ci_low,steady_state_ci_high,peak_prevalence,time_to_extinction,lambda_residual,n_realizations,seed,cost_function,steady_ci_width
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.0,0.0,0,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,124.22060539665421,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.005,245.72704345206222,425,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,123.63815144846167,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.01,491.1113007694632,847,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,49.92,123.00136134274831,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.02,983.1022187977684,1692,4.057205720572058e-05,1.7601760176017604e-06,9.77865786578658e-05,0.0044444444444444444,49.92,121.79202092645733,50,42,sigmoid_dot,9.602640264026403e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.05,2457.5494458044577,4218,4.048404840484049e-05,1.6721672167216724e-06,9.760616061606162e-05,0.0044444444444444444,49.08,118.20753446410731,50,42,sigmoid_dot,9.593399339933994e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.1,4915.59391587035,8433,6.512651265126513e-06,0.0,1.734213421342134e-05,0.0044444444444444444,43.78,112.07970691295233,50,42,sigmoid_dot,1.734213421342134e-05
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.2,9831.518239058649,16866,8.800880088008802e-07,0.0,2.6402640264026406e-06,0.0044444444444444444,40.64,99.70261948943946,50,42,sigmoid_dot,2.6402640264026406e-06
Bowdoin47,random,0.8,0.1,0.0006440155378775412,0.4,19663.121782038266,33736,0.0,0.0,0.0,0.0044444444444444444,35.16,74.95707423218005,50,42,sigmoid_dot,0.0
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.0,0.0,0,0.09472211221122112,0.07644963476347635,0.11001979537953795,0.10961777777777776,,124.22060539665418,50,42,sigmoid_dot,0.03357016061606159
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.005,245.5236332344058,432,0.09346226622662267,0.07547769196919693,0.10850438503850383,0.10838222222222221,,123.89934790802302,50,42,sigmoid_dot,0.0330266930693069
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.01,491.13907994203396,867,0.09117500550055006,0.07381801760176018,0.10562557755775577,0.10666666666666665,,123.33947768020441,50,42,sigmoid_dot,0.03180755995599559
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.02,982.7268629792627,1736,0.08659617161716174,0.07006472387238724,0.10087154675467548,0.10350222222222222,,122.3918546401768,50,42,sigmoid_dot,0.03080682288228824
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.05,2457.5318769718115,4341,0.06819511551155116,0.05343922552255226,0.0819463300330033,0.0839111111111111,,119.35316289982984,50,42,sigmoid_dot,0.028507104510451048
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.1,4915.718390823037,8653,0.05083775577557756,0.03896713311331134,0.06235694829482947,0.06441777777777777,,114.08172022507578,50,42,sigmoid_dot,0.023389815181518128
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.2,9831.762561192378,17245,0.017602024202420245,0.01232798899889989,0.02366814521452145,0.02558222222222222,,103.25829521260323,50,42,sigmoid_dot,0.011340156215621561
Bowdoin47,betweenness,1.5,0.1,0.0012075291335203896,0.4,19663.16732502321,34271,0.0010567216721672167,0.0004084158415841585,0.001822224422442244,0.0044444444444444444,,84.9128514742234,50,42,sigmoid_dot,0.0014138085808580855
Bowdoin47,distance_threshold,1.5,0.1,0.0012075291335203896,0.0,0.0,0,0.09472211221122112,0.07644963476347635,0.11001979537953795,0.10961777777777776,,124.22060539665412,50,42,sigmoid_dot,0.03357016061606159
Bowdoin47,distance_threshold,1.5,0.1,0.0012075291335203896,0.005,245.5,491,0.0927708690869087,0.07493282288228824,0.10802454565456547,0.10785777777777776,,123.39702169678617,50,42,sigmoid_dot,0.03309172277227723
Bowdoin47,distance_threshold,1.5,0.1,0.0012075291335203896,0.01,491.5,983,0.08944968096809681,0.07217235423542356,0.1038893905390539,0.10599111111111113,,122.60274895164815,50,42,sigmoid_dot,0.03171703630363033
Bowdoin47,distance_threshold,1.5,0.1,0.0012075291335203896,0.02,983.0,1966,0.08362393839383937,0.06733135533553354,0.09740895709570957,0.1012888888888889,,120.98046499137853,50,42,sigmoid_dot,0.03007760176017603
